date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-09-01,2916.84,2936.4099,2912.29,2913.0,791234,2916.84,2936.4099,2912.29,2913.0,791234,0.0,1.0
2021-09-02,2884.38,2926.5,2882.13,2918.99,1092790,2884.38,2926.5,2882.13,2918.99,1092790,0.0,1.0
2021-09-03,2895.5,2907.54,2870.1,2882.92,955524,2895.5,2907.54,2870.1,2882.92,955524,0.0,1.0
2021-09-07,2910.38,2916.48,2890.82,2894.99,758630,2910.38,2916.48,2890.82,2894.99,758630,0.0,1.0
2021-09-08,2897.67,2911.02,2884.0,2907.87,774583,2897.67,2911.02,2884.0,2907.87,774583,0.0,1.0
2021-09-09,2898.27,2913.39,2888.68,2897.67,739928,2898.27,2913.39,2888.68,2897.67,739928,0.0,1.0
2021-09-10,2838.42,2920.38,2834.83,2908.87,1644831,2838.42,2920.38,2834.83,2908.87,1644831,0.0,1.0
2021-09-13,2869.3,2883.82,2845.65,2864.02,1008781,2869.3,2883.82,2845.65,2864.02,1008781,0.0,1.0
2021-09-14,2868.12,2894.55,2858.11,2883.22,945957,2868.12,2894.55,2858.11,2883.22,945957,0.0,1.0
2021-09-15,2904.12,2911.63,2845.12,2875.18,1032671,2904.12,2911.63,2845.12,2875.18,1032671,0.0,1.0
2021-09-16,2887.47,2904.0,2868.3272,2902.42,1014942,2887.47,2904.0,2868.3272,2902.42,1014942,0.0,1.0
2021-09-17,2829.27,2884.99,2821.23,2875.97,3001991,2829.27,2884.99,2821.23,2875.97,3001991,0.0,1.0
2021-09-20,2780.34,2787.25,2741.06,2780.0035,1745886,2780.34,2787.25,2741.06,2780.0035,1745886,0.0,1.0
2021-09-21,2792.93,2816.2323,2778.11,2802.34,906469,2792.93,2816.2323,2778.11,2802.34,906469,0.0,1.0
2021-09-22,2818.77,2831.67,2789.435,2801.01,1103390,2818.77,2831.67,2789.435,2801.01,1103390,0.0,1.0
2021-09-23,2836.53,2845.0493,2821.93,2832.19,863805,2836.53,2845.0493,2821.93,2832.19,863805,0.0,1.0
2021-09-24,2852.66,2858.07,2817.01,2818.92,747467,2852.66,2858.07,2817.01,2818.92,747467,0.0,1.0
2021-09-27,2830.02,2850.0,2810.0,2831.71,942204,2830.02,2850.0,2810.0,2831.71,942204,0.0,1.0
2021-09-28,2723.68,2792.13,2714.0,2781.77,2109483,2723.68,2792.13,2714.0,2781.77,2109483,0.0,1.0
2021-09-29,2690.42,2747.97,2685.0,2742.1938,1316861,2690.42,2747.97,2685.0,2742.1938,1316861,0.0,1.0
2021-09-30,2665.31,2711.8,2660.0,2686.5,1768199,2665.31,2711.8,2660.0,2686.5,1768199,0.0,1.0
2021-10-01,2729.25,2741.42,2667.55,2671.09,1419365,2729.25,2741.42,2667.55,2671.09,1419365,0.0,1.0
2021-10-04,2675.3,2714.0,2623.33,2713.99,1576495,2675.3,2714.0,2623.33,2713.99,1576495,0.0,1.0
2021-10-05,2723.54,2747.24,2680.0,2680.0,1206337,2723.54,2747.24,2680.0,2680.0,1206337,0.0,1.0
2021-10-06,2747.08,2757.04,2689.73,2692.51,988216,2747.08,2757.04,2689.73,2692.51,988216,0.0,1.0
2021-10-07,2783.71,2803.0891,2771.26,2777.26,912523,2783.71,2803.0891,2771.26,2777.26,912523,0.0,1.0
2021-10-08,2801.12,2806.34,2788.5868,2798.12,946421,2801.12,2806.34,2788.5868,2798.12,946421,0.0,1.0
2021-10-11,2776.95,2815.2725,2776.13,2796.0,829238,2776.95,2815.2725,2776.13,2796.0,829238,0.0,1.0
2021-10-12,2734.26,2793.9,2725.0,2792.75,1126751,2734.26,2793.9,2725.0,2792.75,1126751,0.0,1.0
2021-10-13,2758.0,2771.0,2739.53,2755.0,819664,2758.0,2771.0,2739.53,2755.0,819664,0.0,1.0
2021-10-14,2828.24,2833.03,2786.78,2799.04,1071878,2828.24,2833.03,2786.78,2799.04,1071878,0.0,1.0
2021-10-15,2833.5,2844.0,2821.29,2844.0,1062668,2833.5,2844.0,2821.29,2844.0,1062668,0.0,1.0
2021-10-18,2859.21,2859.975,2824.27,2824.27,828360,2859.21,2859.975,2824.27,2824.27,828360,0.0,1.0
2021-10-19,2876.44,2882.14,2861.92,2865.83,765792,2876.44,2882.14,2861.92,2865.83,765792,0.0,1.0
2021-10-20,2848.3,2884.955,2838.24,2884.45,896975,2848.3,2884.955,2838.24,2884.45,896975,0.0,1.0
2021-10-21,2855.61,2856.99,2832.74,2843.84,742496,2855.61,2856.99,2832.74,2843.84,742496,0.0,1.0
2021-10-22,2772.5,2831.17,2743.41,2807.02,1509132,2772.5,2831.17,2743.41,2807.02,1509132,0.0,1.0
2021-10-25,2775.46,2784.116,2734.97,2776.21,1054085,2775.46,2784.116,2734.97,2776.21,1054085,0.0,1.0
2021-10-26,2793.44,2816.79,2780.11,2812.12,1412937,2793.44,2816.79,2780.11,2812.12,1412937,0.0,1.0
2021-10-27,2928.55,2982.36,2798.05,2798.05,2592546,2928.55,2982.36,2798.05,2798.05,2592546,0.0,1.0
